workload,class,mpki,de_ratio,burstness_peak,ipc_base,ipc_o3,o3_gain_pct
backprop-rodinia-3.1_65536,neutral,0.0245,0.2946,14,817.5737,818.6949,0.137
bfs-rodinia-3.1_graph65536,neutral,0.0259,,0,102.8354,102.8354,0.0
gaussian-rodinia-3.1_s256,neutral,0.0004,,0,98.1002,98.1002,0.0
hybridsort-rodinia-3.1_500000,neutral,0.0177,0.7326,117,132.5361,130.6404,-1.43
kmeans-rodinia-3.1_28k_4x_features,B,2.0862,0.9863,54,23.3551,23.1794,-0.752
lonestar-dmr_data_25k_10,B,2.986,0.9971,96,11.7342,11.783,0.416
lonestar-mst_2d_2e20_sym_gr,B,0.9768,0.9819,125,49.4936,50.8406,2.722
lonestar-sssp_data_r4_2e20_gr,B,1.5757,0.9952,128,31.8635,32.4169,1.737
lud-rodinia-3.1_s2048v,neutral,0.0338,0.9902,49,542.285,546.0617,0.696
nw-rodinia-3.1_2048_10,B,5.0207,0.9866,128,8.492,8.3738,-1.392
pagerank,neutral,0.055,0.9506,58,203.0311,203.5224,0.242
parboil-bfs_NY,neutral,0.0028,,0,17.7967,17.7967,0.0
parboil-mri-gridding_small,neutral,0.0925,0.9455,126,423.5054,428.9115,1.277
parboil-sad,neutral,0.021,0.4603,81,718.6187,681.9305,-5.105
parboil-sgemm_medium,neutral,0.0032,0.4778,7,1428.4166,1428.4014,-0.001
parboil-spmv,neutral,0.1907,0.9797,47,226.5117,219.7566,-2.982
polybench-2mm_NI512_NJ512_NK512_NL512,neutral,0.0011,0.028,4,484.5143,484.5143,0.0
polybench-atax_NX2048_NY2048,A,81.374,0.9986,17,0.3543,0.6101,72.199
polybench-bicg_NX2048_NY2048,B,56.3807,0.9922,16,0.6014,0.604,0.432
polybench-fdtd2d_NX2048_NY2048_T25,neutral,0.0877,0.9818,26,490.8974,488.6466,-0.459
polybench-gesummv_N2024,B,175.4862,0.999,25,0.2867,0.2866,-0.035
polybench-gramschmidt,neutral,0.3989,0.9963,7,8.4495,8.4527,0.038
polybench-mvt_N2048,A,56.4603,0.998,15,0.5743,0.596,3.779
streamcluster-rodinia-3.1_3_6_16_65536_65536_1000,neutral,0.1733,0.994,55,218.0986,218.1898,0.042
