workload,class,de_ratio_4kb,de_ratio_2mb
backprop-rodinia-3.1_65536,neutral,0.2946,
bfs-rodinia-3.1_graph65536,neutral,,
gaussian-rodinia-3.1_s256,neutral,,
hybridsort-rodinia-3.1_500000,neutral,0.7326,
kmeans-rodinia-3.1_28k_4x_features,B,0.9863,
lonestar-dmr_data_25k_10,B,0.9971,
lonestar-mst_2d_2e20_sym_gr,B,0.9819,
lonestar-sssp_data_r4_2e20_gr,B,0.9952,
lud-rodinia-3.1_s2048v,neutral,0.9902,
nw-rodinia-3.1_2048_10,B,0.9866,
pagerank,neutral,0.9506,
parboil-bfs_NY,neutral,,
parboil-mri-gridding_small,neutral,0.9455,
parboil-sad,neutral,0.4603,
parboil-sgemm_medium,neutral,0.4778,
parboil-spmv,neutral,0.9797,
polybench-2mm_NI512_NJ512_NK512_NL512,neutral,0.028,
polybench-atax_NX2048_NY2048,A,0.9986,
polybench-bicg_NX2048_NY2048,B,0.9922,
polybench-fdtd2d_NX2048_NY2048_T25,neutral,0.9818,
polybench-gesummv_N2024,B,0.999,
polybench-gramschmidt,neutral,0.9963,
polybench-mvt_N2048,A,0.998,
streamcluster-rodinia-3.1_3_6_16_65536_65536_1000,neutral,0.994,
