workload,class,ipc_4kb_base,ipc_4kb_o3,ipc_2mb_base,ipc_2mb_o3
backprop-rodinia-3.1_65536,neutral,817.5737,818.6949,2150.2156,2150.2156
bfs-rodinia-3.1_graph65536,neutral,102.8354,102.8354,109.8109,109.8109
gaussian-rodinia-3.1_s256,neutral,98.1002,98.1002,98.7466,98.7466
hybridsort-rodinia-3.1_500000,neutral,132.5361,130.6404,136.1815,136.1815
kmeans-rodinia-3.1_28k_4x_features,B,23.3551,23.1794,589.5966,589.5966
lonestar-dmr_data_25k_10,B,11.7342,11.783,26.1725,26.1725
lonestar-mst_2d_2e20_sym_gr,B,49.4936,50.8406,311.0081,311.0081
lonestar-sssp_data_r4_2e20_gr,B,31.8635,32.4169,462.4136,462.4136
lud-rodinia-3.1_s2048v,neutral,542.285,546.0617,1023.0555,1023.0555
nw-rodinia-3.1_2048_10,B,8.492,8.3738,48.1683,48.1683
pagerank,neutral,203.0311,203.5224,213.6262,213.6262
parboil-bfs_NY,neutral,17.7967,17.7967,17.8584,17.8584
parboil-mri-gridding_small,neutral,423.5054,428.9115,1288.4479,1288.4479
parboil-sad,neutral,718.6187,681.9305,1011.3417,1011.3417
parboil-sgemm_medium,neutral,1428.4166,1428.4014,2398.7183,2398.7183
parboil-spmv,neutral,226.5117,219.7566,455.7698,455.7698
polybench-2mm_NI512_NJ512_NK512_NL512,neutral,484.5143,484.5143,473.9605,473.9605
polybench-atax_NX2048_NY2048,A,0.3543,0.6101,22.4153,22.4153
polybench-bicg_NX2048_NY2048,B,0.6014,0.604,22.4114,22.4114
polybench-fdtd2d_NX2048_NY2048_T25,neutral,490.8974,488.6466,670.8057,670.8057
polybench-gesummv_N2024,B,0.2867,0.2866,36.6125,36.6125
polybench-gramschmidt,neutral,8.4495,8.4527,20.2831,20.2831
polybench-mvt_N2048,A,0.5743,0.596,22.4401,22.4401
streamcluster-rodinia-3.1_3_6_16_65536_65536_1000,neutral,218.0986,218.1898,349.2494,349.2494
