workload,class,R1-burst,R2-clean,R_CTF,R_O3CTF,R8,R9,R10
backprop-rodinia-3.1_65536,neutral,817.5737,818.6949,822.511,820.7425,780.6401,808.7906,808.1376
bfs-rodinia-3.1_graph65536,neutral,102.8354,102.8354,105.0551,105.0551,102.712,102.8354,102.8354
gaussian-rodinia-3.1_s256,neutral,98.1002,98.1002,98.1872,98.1872,98.0199,98.6256,98.6256
hybridsort-rodinia-3.1_500000,neutral,132.5361,130.6404,130.3204,135.8263,147.9553,114.4877,142.5359
kmeans-rodinia-3.1_28k_4x_features,B,23.3551,23.1794,23.7081,23.4017,23.6182,58.3484,53.5105
lonestar-dmr_data_25k_10,B,11.7342,11.783,11.6965,11.7841,10.8035,13.2277,13.1021
lonestar-mst_2d_2e20_sym_gr,B,49.4936,50.8406,48.1921,50.7677,44.173,49.5536,50.8006
lonestar-sssp_data_r4_2e20_gr,B,31.8635,32.4169,31.8455,32.3476,27.9999,32.2022,32.8648
lud-rodinia-3.1_s2048v,neutral,542.285,546.0617,542.7681,543.3572,521.6516,626.1703,623.8568
nw-rodinia-3.1_2048_10,B,8.492,8.3738,8.4979,8.3759,8.4958,12.4236,11.1847
pagerank,neutral,203.0311,203.5224,202.6469,202.5344,201.2046,205.8046,204.8855
parboil-bfs_NY,neutral,17.7967,17.7967,17.8187,17.8187,17.7206,17.7973,17.7973
parboil-mri-gridding_small,neutral,423.5054,428.9115,419.22,431.0545,585.2211,497.0734,483.9698
parboil-sad,neutral,718.6187,681.9305,570.0042,574.1324,746.6559,562.9688,559.0635
parboil-sgemm_medium,neutral,1428.4166,1428.4014,1514.0911,1513.9291,1399.7302,1525.2046,1525.2292
parboil-spmv,neutral,226.5117,219.7566,226.5152,233.9276,224.1316,225.8113,223.5209
polybench-2mm_NI512_NJ512_NK512_NL512,neutral,484.5143,484.5143,477.7216,477.7216,486.2731,484.5143,484.5143
polybench-atax_NX2048_NY2048,A,0.3543,0.6101,0.3558,0.6105,0.5892,4.7008,4.9539
polybench-bicg_NX2048_NY2048,B,0.6014,0.604,0.6033,0.5928,0.3449,4.6123,4.9304
polybench-fdtd2d_NX2048_NY2048_T25,neutral,490.8974,488.6466,491.09,489.179,490.0651,490.3235,488.6369
polybench-gesummv_N2024,B,0.2867,0.2866,0.2867,0.2866,0.2867,1.3285,0.9496
polybench-gramschmidt,neutral,8.4495,8.4527,8.4617,8.4602,8.4875,8.7012,8.7083
polybench-mvt_N2048,A,0.5743,0.596,0.5743,0.5948,0.5762,4.7626,4.9542
streamcluster-rodinia-3.1_3_6_16_65536_65536_1000,neutral,218.0986,218.1898,218.2707,218.5378,217.5148,218.5405,218.3448
