time_step,bicg_total_misses,bicg_dead_misses,atax_total_misses,atax_dead_misses
0,8,0,8,0
1,24,0,32,0
2,16,0,32,0
3,16,0,32,0
4,16,0,32,0
5,16,0,32,0
6,16,0,32,0
7,16,0,32,0
8,16,0,32,0
9,16,0,32,0
10,16,0,32,0
11,16,0,32,0
12,16,0,32,0
13,16,0,32,0
14,16,0,32,0
15,16,0,32,0
16,16,0,32,0
17,16,0,32,0
18,16,0,32,0
19,16,0,32,0
20,16,0,32,0
21,16,0,32,0
22,16,0,32,0
23,16,0,32,0
24,16,0,32,0
25,16,0,32,8
26,16,0,32,0
27,16,0,32,0
28,16,0,32,0
29,16,0,32,0
30,16,0,32,0
31,16,0,32,0
32,16,0,32,0
33,16,0,32,0
34,16,0,32,0
35,16,0,32,0
36,16,0,32,0
37,16,0,32,0
38,16,0,32,0
39,16,0,32,0
40,16,0,32,0
41,16,0,32,0
42,16,0,32,0
43,16,0,32,0
44,16,0,32,0
45,16,0,32,0
46,16,0,32,0
47,16,0,32,0
48,16,0,32,0
49,16,0,32,0
50,16,0,32,0
51,16,0,32,0
52,16,0,32,0
53,16,0,32,0
54,16,0,32,0
55,16,0,32,0
56,16,0,32,0
57,16,0,32,0
58,16,0,32,0
59,16,0,32,0
60,16,0,36,4
61,16,0,32,0
62,16,0,32,0
63,16,0,32,0
64,16,0,32,0
65,16,0,32,16
66,16,0,32,32
67,16,0,32,32
68,16,0,32,32
69,16,0,32,32
70,16,0,32,32
71,16,0,32,32
72,16,0,32,32
73,16,0,32,32
74,16,0,32,32
75,16,0,32,32
76,16,0,32,32
77,16,0,32,32
78,16,0,32,32
79,16,0,32,32
80,16,0,32,32
81,16,0,32,32
82,16,0,32,32
83,16,0,32,32
84,16,0,32,32
85,16,0,32,32
86,16,0,32,32
87,16,0,32,32
88,16,0,32,32
89,16,0,32,32
90,16,0,32,32
91,16,0,32,32
92,16,0,32,32
93,16,0,32,32
94,16,0,32,32
95,16,0,32,32
96,16,0,32,32
97,16,0,32,32
98,16,0,32,32
99,16,0,32,32
100,16,0,32,32
101,16,0,32,32
102,16,0,32,32
103,16,0,32,32
104,16,0,32,32
105,16,0,32,32
106,16,0,32,32
107,16,0,32,32
108,16,0,32,32
109,16,0,32,32
110,16,0,32,32
111,16,0,32,32
112,16,0,32,32
113,16,0,32,32
114,16,0,32,32
115,16,0,32,32
116,16,0,32,32
117,16,0,36,36
118,16,0,32,32
119,16,0,32,32
120,16,0,32,32
121,16,0,32,32
122,16,0,32,32
123,16,0,32,32
124,16,0,32,32
125,16,0,32,32
126,16,0,32,32
127,16,0,32,32
128,16,0,32,32
129,16,0,32,32
130,16,0,32,32
131,16,0,32,32
132,16,0,32,32
133,16,0,32,32
134,16,0,32,32
135,16,0,32,32
136,16,0,32,32
137,16,0,32,32
138,16,0,32,32
139,16,0,32,32
140,16,0,32,32
141,16,0,36,36
142,16,0,32,32
143,16,0,32,32
144,16,0,32,32
145,16,0,32,32
146,16,0,32,32
147,16,0,32,32
148,16,0,32,32
149,16,0,32,32
150,16,0,32,32
151,16,0,32,32
152,16,0,32,32
153,16,0,32,32
154,16,0,32,32
155,16,0,32,32
156,16,0,32,32
157,16,0,32,32
158,16,0,32,32
159,16,0,32,32
160,16,0,32,32
161,16,0,32,32
162,16,0,32,32
163,16,0,32,32
164,16,0,32,32
165,16,0,32,32
166,16,0,32,32
167,16,0,32,32
168,16,0,32,32
169,16,0,32,32
170,16,0,32,32
171,16,0,32,32
172,16,0,32,32
173,16,0,36,36
174,16,0,32,32
175,16,0,32,32
176,16,0,32,32
177,16,0,32,32
178,16,0,32,32
179,16,0,32,32
180,16,0,32,32
181,16,0,32,32
182,16,0,32,32
183,16,0,32,32
184,16,0,32,32
185,16,0,32,32
186,16,0,32,32
187,16,0,32,32
188,16,0,32,32
189,16,0,32,32
190,16,0,32,32
191,16,0,32,32
192,16,0,32,32
193,16,0,32,32
194,16,0,32,32
195,16,0,32,32
196,16,0,32,32
197,16,0,32,32
198,16,0,36,36
199,16,0,32,32
200,16,0,32,32
201,16,0,32,32
202,16,0,32,32
203,16,0,32,32
204,16,0,32,32
205,16,0,32,32
206,16,0,32,32
207,16,0,32,32
208,16,0,32,32
209,16,0,32,32
