bloom_bits,workload,ipc,ipc_baseline,gain_pct
2048,backprop-rodinia-3.1_65536,818.6949,817.5737,0.137
2048,bfs-rodinia-3.1_graph65536,102.8354,102.8354,0.0
2048,gaussian-rodinia-3.1_s256,98.1002,98.1002,0.0
2048,hybridsort-rodinia-3.1_500000,130.6404,132.5361,-1.43
2048,kmeans-rodinia-3.1_28k_4x_features,23.1794,23.3551,-0.752
2048,lonestar-dmr_data_25k_10,11.783,11.7342,0.416
2048,lonestar-mst_2d_2e20_sym_gr,50.8406,49.4936,2.722
2048,lonestar-sssp_data_r4_2e20_gr,32.4169,31.8635,1.737
2048,lud-rodinia-3.1_s2048v,546.0617,542.285,0.696
2048,nw-rodinia-3.1_2048_10,8.3738,8.492,-1.392
2048,pagerank,203.5224,203.0311,0.242
2048,parboil-bfs_NY,17.7967,17.7967,0.0
2048,parboil-mri-gridding_small,425.3712,423.5054,0.441
2048,parboil-sad,681.9305,718.6187,-5.105
2048,parboil-sgemm_medium,1428.4014,1428.4166,-0.001
2048,parboil-spmv,220.2467,226.5117,-2.766
2048,polybench-2mm_NI512_NJ512_NK512_NL512,484.5143,484.5143,0.0
2048,polybench-atax_NX2048_NY2048,0.6101,0.3543,72.199
2048,polybench-bicg_NX2048_NY2048,0.604,0.6014,0.432
2048,polybench-fdtd2d_NX2048_NY2048_T25,488.6466,490.8974,-0.459
2048,polybench-gesummv_N2024,0.2866,0.2867,-0.035
2048,polybench-gramschmidt,8.4527,8.4495,0.038
2048,polybench-mvt_N2048,0.596,0.5743,3.779
2048,streamcluster-rodinia-3.1_3_6_16_65536_65536_1000,218.1898,218.0986,0.042
4096,backprop-rodinia-3.1_65536,818.6949,817.5737,0.137
4096,bfs-rodinia-3.1_graph65536,102.8354,102.8354,0.0
4096,gaussian-rodinia-3.1_s256,98.1002,98.1002,0.0
4096,hybridsort-rodinia-3.1_500000,130.6404,132.5361,-1.43
4096,kmeans-rodinia-3.1_28k_4x_features,23.1794,23.3551,-0.752
4096,lonestar-dmr_data_25k_10,11.783,11.7342,0.416
4096,lonestar-mst_2d_2e20_sym_gr,50.8406,49.4936,2.722
4096,lonestar-sssp_data_r4_2e20_gr,32.4169,31.8635,1.737
4096,lud-rodinia-3.1_s2048v,546.0617,542.285,0.696
4096,nw-rodinia-3.1_2048_10,8.3738,8.492,-1.392
4096,pagerank,203.5224,203.0311,0.242
4096,parboil-bfs_NY,17.7967,17.7967,0.0
4096,parboil-mri-gridding_small,425.3712,423.5054,0.441
4096,parboil-sad,681.9305,718.6187,-5.105
4096,parboil-sgemm_medium,1428.4014,1428.4166,-0.001
4096,parboil-spmv,226.4383,226.5117,-0.032
4096,polybench-2mm_NI512_NJ512_NK512_NL512,484.5143,484.5143,0.0
4096,polybench-atax_NX2048_NY2048,0.6101,0.3543,72.199
4096,polybench-bicg_NX2048_NY2048,0.604,0.6014,0.432
4096,polybench-fdtd2d_NX2048_NY2048_T25,488.6466,490.8974,-0.459
4096,polybench-gesummv_N2024,0.2866,0.2867,-0.035
4096,polybench-gramschmidt,8.4527,8.4495,0.038
4096,polybench-mvt_N2048,0.596,0.5743,3.779
4096,streamcluster-rodinia-3.1_3_6_16_65536_65536_1000,218.1898,218.0986,0.042
8192,backprop-rodinia-3.1_65536,818.6949,817.5737,0.137
8192,bfs-rodinia-3.1_graph65536,102.8354,102.8354,0.0
8192,gaussian-rodinia-3.1_s256,98.1002,98.1002,0.0
8192,hybridsort-rodinia-3.1_500000,130.6404,132.5361,-1.43
8192,kmeans-rodinia-3.1_28k_4x_features,23.1794,23.3551,-0.752
8192,lonestar-dmr_data_25k_10,11.783,11.7342,0.416
8192,lonestar-mst_2d_2e20_sym_gr,50.8406,49.4936,2.722
8192,lonestar-sssp_data_r4_2e20_gr,32.4169,31.8635,1.737
8192,lud-rodinia-3.1_s2048v,546.0617,542.285,0.696
8192,nw-rodinia-3.1_2048_10,8.3738,8.492,-1.392
8192,pagerank,203.5224,203.0311,0.242
8192,parboil-bfs_NY,17.7967,17.7967,0.0
8192,parboil-mri-gridding_small,425.984,423.5054,0.585
8192,parboil-sad,681.9305,718.6187,-5.105
8192,parboil-sgemm_medium,1428.4014,1428.4166,-0.001
8192,parboil-spmv,219.7566,226.5117,-2.982
8192,polybench-2mm_NI512_NJ512_NK512_NL512,484.5143,484.5143,0.0
8192,polybench-atax_NX2048_NY2048,0.6101,0.3543,72.199
8192,polybench-bicg_NX2048_NY2048,0.604,0.6014,0.432
8192,polybench-fdtd2d_NX2048_NY2048_T25,488.6466,490.8974,-0.459
8192,polybench-gesummv_N2024,0.2866,0.2867,-0.035
8192,polybench-gramschmidt,8.4527,8.4495,0.038
8192,polybench-mvt_N2048,0.596,0.5743,3.779
8192,streamcluster-rodinia-3.1_3_6_16_65536_65536_1000,218.1898,218.0986,0.042
16384,backprop-rodinia-3.1_65536,818.6949,817.5737,0.137
16384,bfs-rodinia-3.1_graph65536,102.8354,102.8354,0.0
16384,gaussian-rodinia-3.1_s256,98.1002,98.1002,0.0
16384,hybridsort-rodinia-3.1_500000,130.6404,132.5361,-1.43
16384,kmeans-rodinia-3.1_28k_4x_features,23.1794,23.3551,-0.752
16384,lonestar-dmr_data_25k_10,11.783,11.7342,0.416
16384,lonestar-mst_2d_2e20_sym_gr,50.8406,49.4936,2.722
16384,lonestar-sssp_data_r4_2e20_gr,32.4169,31.8635,1.737
16384,lud-rodinia-3.1_s2048v,546.0617,542.285,0.696
16384,nw-rodinia-3.1_2048_10,8.3738,8.492,-1.392
16384,pagerank,203.5224,203.0311,0.242
16384,parboil-bfs_NY,17.7967,17.7967,0.0
16384,parboil-mri-gridding_small,429.653,423.5054,1.452
16384,parboil-sad,681.9305,718.6187,-5.105
16384,parboil-sgemm_medium,1428.4014,1428.4166,-0.001
16384,parboil-spmv,226.2701,226.5117,-0.107
16384,polybench-2mm_NI512_NJ512_NK512_NL512,484.5143,484.5143,0.0
16384,polybench-atax_NX2048_NY2048,0.6101,0.3543,72.199
16384,polybench-bicg_NX2048_NY2048,0.604,0.6014,0.432
16384,polybench-fdtd2d_NX2048_NY2048_T25,488.6466,490.8974,-0.459
16384,polybench-gesummv_N2024,0.2866,0.2867,-0.035
16384,polybench-gramschmidt,8.4527,8.4495,0.038
16384,polybench-mvt_N2048,0.596,0.5743,3.779
16384,streamcluster-rodinia-3.1_3_6_16_65536_65536_1000,218.1898,218.0986,0.042
