protect_cycles,workload,ipc,ipc_baseline,gain_pct
100000,backprop-rodinia-3.1_65536,818.6949,817.5737,0.137
100000,bfs-rodinia-3.1_graph65536,102.8354,102.8354,0.0
100000,gaussian-rodinia-3.1_s256,98.1002,98.1002,0.0
100000,hybridsort-rodinia-3.1_500000,136.3623,132.5361,2.887
100000,kmeans-rodinia-3.1_28k_4x_features,22.9639,23.3551,-1.675
100000,lonestar-dmr_data_25k_10,11.5627,11.7342,-1.462
100000,lonestar-mst_2d_2e20_sym_gr,49.2494,49.4936,-0.493
100000,lonestar-sssp_data_r4_2e20_gr,32.2496,31.8635,1.212
100000,lud-rodinia-3.1_s2048v,546.8762,542.285,0.847
100000,nw-rodinia-3.1_2048_10,8.3811,8.492,-1.306
100000,pagerank,203.3711,203.0311,0.167
100000,parboil-bfs_NY,17.7967,17.7967,0.0
100000,parboil-mri-gridding_small,425.6939,423.5054,0.517
100000,parboil-sad,681.9305,718.6187,-5.105
100000,parboil-sgemm_medium,1428.4166,1428.4166,0.0
100000,parboil-spmv,215.4041,226.5117,-4.904
100000,polybench-2mm_NI512_NJ512_NK512_NL512,484.5143,484.5143,0.0
100000,polybench-atax_NX2048_NY2048,0.5834,0.3543,64.663
100000,polybench-bicg_NX2048_NY2048,0.5866,0.6014,-2.461
100000,polybench-fdtd2d_NX2048_NY2048_T25,488.6466,490.8974,-0.459
100000,polybench-gesummv_N2024,0.2863,0.2867,-0.14
100000,polybench-gramschmidt,8.4548,8.4495,0.063
100000,polybench-mvt_N2048,0.5768,0.5743,0.435
100000,streamcluster-rodinia-3.1_3_6_16_65536_65536_1000,218.1898,218.0986,0.042
250000,backprop-rodinia-3.1_65536,818.6949,817.5737,0.137
250000,bfs-rodinia-3.1_graph65536,102.8354,102.8354,0.0
250000,gaussian-rodinia-3.1_s256,98.1002,98.1002,0.0
250000,hybridsort-rodinia-3.1_500000,136.2326,132.5361,2.789
250000,kmeans-rodinia-3.1_28k_4x_features,23.2573,23.3551,-0.419
250000,lonestar-dmr_data_25k_10,11.6989,11.7342,-0.301
250000,lonestar-mst_2d_2e20_sym_gr,49.5487,49.4936,0.111
250000,lonestar-sssp_data_r4_2e20_gr,32.389,31.8635,1.649
250000,lud-rodinia-3.1_s2048v,546.0617,542.285,0.696
250000,nw-rodinia-3.1_2048_10,8.3211,8.492,-2.012
250000,pagerank,203.5224,203.0311,0.242
250000,parboil-bfs_NY,17.7967,17.7967,0.0
250000,parboil-mri-gridding_small,427.0002,423.5054,0.825
250000,parboil-sad,681.9305,718.6187,-5.105
250000,parboil-sgemm_medium,1427.9041,1428.4166,-0.036
250000,parboil-spmv,223.2109,226.5117,-1.457
250000,polybench-2mm_NI512_NJ512_NK512_NL512,484.5143,484.5143,0.0
250000,polybench-atax_NX2048_NY2048,0.5745,0.3543,62.151
250000,polybench-bicg_NX2048_NY2048,0.4516,0.6014,-24.909
250000,polybench-fdtd2d_NX2048_NY2048_T25,488.6466,490.8974,-0.459
250000,polybench-gesummv_N2024,0.2865,0.2867,-0.07
250000,polybench-gramschmidt,8.4561,8.4495,0.078
250000,polybench-mvt_N2048,0.3463,0.5743,-39.701
250000,streamcluster-rodinia-3.1_3_6_16_65536_65536_1000,218.1898,218.0986,0.042
500000,backprop-rodinia-3.1_65536,818.6949,817.5737,0.137
500000,bfs-rodinia-3.1_graph65536,102.8354,102.8354,0.0
500000,gaussian-rodinia-3.1_s256,98.1002,98.1002,0.0
500000,hybridsort-rodinia-3.1_500000,130.6404,132.5361,-1.43
500000,kmeans-rodinia-3.1_28k_4x_features,23.1794,23.3551,-0.752
500000,lonestar-dmr_data_25k_10,11.783,11.7342,0.416
500000,lonestar-mst_2d_2e20_sym_gr,50.8406,49.4936,2.722
500000,lonestar-sssp_data_r4_2e20_gr,32.4169,31.8635,1.737
500000,lud-rodinia-3.1_s2048v,546.0617,542.285,0.696
500000,nw-rodinia-3.1_2048_10,8.3738,8.492,-1.392
500000,pagerank,203.5224,203.0311,0.242
500000,parboil-bfs_NY,17.7967,17.7967,0.0
500000,parboil-mri-gridding_small,425.3242,423.5054,0.429
500000,parboil-sad,681.9305,718.6187,-5.105
500000,parboil-sgemm_medium,1428.4014,1428.4166,-0.001
500000,parboil-spmv,227.5118,226.5117,0.442
500000,polybench-2mm_NI512_NJ512_NK512_NL512,484.5143,484.5143,0.0
500000,polybench-atax_NX2048_NY2048,0.6101,0.3543,72.199
500000,polybench-bicg_NX2048_NY2048,0.604,0.6014,0.432
500000,polybench-fdtd2d_NX2048_NY2048_T25,488.6466,490.8974,-0.459
500000,polybench-gesummv_N2024,0.2866,0.2867,-0.035
500000,polybench-gramschmidt,8.4527,8.4495,0.038
500000,polybench-mvt_N2048,0.596,0.5743,3.779
500000,streamcluster-rodinia-3.1_3_6_16_65536_65536_1000,218.1898,218.0986,0.042
1000000,backprop-rodinia-3.1_65536,818.6949,817.5737,0.137
1000000,bfs-rodinia-3.1_graph65536,102.8354,102.8354,0.0
1000000,gaussian-rodinia-3.1_s256,98.1002,98.1002,0.0
1000000,hybridsort-rodinia-3.1_500000,130.6404,132.5361,-1.43
1000000,kmeans-rodinia-3.1_28k_4x_features,23.1794,23.3551,-0.752
1000000,lonestar-dmr_data_25k_10,11.7737,11.7342,0.337
1000000,lonestar-mst_2d_2e20_sym_gr,49.7078,49.4936,0.433
1000000,lonestar-sssp_data_r4_2e20_gr,32.4106,31.8635,1.717
1000000,lud-rodinia-3.1_s2048v,546.0617,542.285,0.696
1000000,nw-rodinia-3.1_2048_10,8.3738,8.492,-1.392
1000000,pagerank,203.5224,203.0311,0.242
1000000,parboil-bfs_NY,17.7967,17.7967,0.0
1000000,parboil-mri-gridding_small,424.5864,423.5054,0.255
1000000,parboil-sad,681.9305,718.6187,-5.105
1000000,parboil-sgemm_medium,1428.4014,1428.4166,-0.001
1000000,parboil-spmv,219.7566,226.5117,-2.982
1000000,polybench-2mm_NI512_NJ512_NK512_NL512,484.5143,484.5143,0.0
1000000,polybench-atax_NX2048_NY2048,0.6066,0.3543,71.211
1000000,polybench-bicg_NX2048_NY2048,0.6141,0.6014,2.112
1000000,polybench-fdtd2d_NX2048_NY2048_T25,488.6466,490.8974,-0.459
1000000,polybench-gesummv_N2024,0.2866,0.2867,-0.035
1000000,polybench-gramschmidt,8.4529,8.4495,0.04
1000000,polybench-mvt_N2048,0.5779,0.5743,0.627
1000000,streamcluster-rodinia-3.1_3_6_16_65536_65536_1000,218.1898,218.0986,0.042
2000000,backprop-rodinia-3.1_65536,818.6949,817.5737,0.137
2000000,bfs-rodinia-3.1_graph65536,102.8354,102.8354,0.0
2000000,gaussian-rodinia-3.1_s256,98.1002,98.1002,0.0
2000000,hybridsort-rodinia-3.1_500000,130.6404,132.5361,-1.43
2000000,kmeans-rodinia-3.1_28k_4x_features,23.1794,23.3551,-0.752
2000000,lonestar-dmr_data_25k_10,11.8522,11.7342,1.006
2000000,lonestar-mst_2d_2e20_sym_gr,49.5486,49.4936,0.111
2000000,lonestar-sssp_data_r4_2e20_gr,32.4748,31.8635,1.918
2000000,lud-rodinia-3.1_s2048v,546.0617,542.285,0.696
2000000,nw-rodinia-3.1_2048_10,8.3738,8.492,-1.392
2000000,pagerank,203.5224,203.0311,0.242
2000000,parboil-bfs_NY,17.7967,17.7967,0.0
2000000,parboil-mri-gridding_small,430.3869,423.5054,1.625
2000000,parboil-sad,681.9305,718.6187,-5.105
2000000,parboil-sgemm_medium,1428.4014,1428.4166,-0.001
2000000,parboil-spmv,215.0261,226.5117,-5.071
2000000,polybench-2mm_NI512_NJ512_NK512_NL512,484.5143,484.5143,0.0
2000000,polybench-atax_NX2048_NY2048,0.5831,0.3543,64.578
2000000,polybench-bicg_NX2048_NY2048,0.6026,0.6014,0.2
2000000,polybench-fdtd2d_NX2048_NY2048_T25,488.6466,490.8974,-0.459
2000000,polybench-gesummv_N2024,0.2866,0.2867,-0.035
2000000,polybench-gramschmidt,8.4529,8.4495,0.04
2000000,polybench-mvt_N2048,0.6137,0.5743,6.861
2000000,streamcluster-rodinia-3.1_3_6_16_65536_65536_1000,218.1898,218.0986,0.042
