workload,class,de_ratio,avg_delta_cycles,modal_bin,pct_modal,pct_ge_1k
atax,A,99.9,199000,10K-99K,95.9,99.9
mvt,A,99.8,67000,10K-99K,97.7,99.9
bicg,B,99.2,86000,10K-99K,98.4,99.9
gesummv,B,99.9,98000,10K-99K,99.9,100.0
kmeans,B,98.6,57000,10K-99K,82.3,99.3
nw,B,98.7,81000,10K-99K,83.0,99.0
dmr,B,99.7,97000,10K-99K,49.9,93.1
mst,B,98.2,192000,1K-9.9K,54.5,83.9
sssp,B,99.4,122000,1K-9.9K,63.7,82.9
backprop,N,29.6,33700,10K-99K,99.8,100.0
hybridsort,N,73.3,146400,10K-99K,67.1,99.4
lud,N,99.0,116300,100K-999K,49.9,99.1
pagerank,N,95.1,151200,100K-999K,88.2,99.8
mri-gridding,N,92.6,717600,10K-99K,35.9,89.1
sad,N,46.0,12000,1K-9.9K,57.8,87.9
sgemm,N,47.8,344100,100K-999K,100.0,100.0
spmv,N,98.0,151200,100K-999K,93.6,99.5
2mm,N,2.8,300,100-999,77.7,0.0
fdtd2d,N,98.2,263700,100K-999K,100.0,100.0
gramschmidt,N,99.6,1659000,1M-9.9M,82.0,99.9
streamcluster,N,99.4,24000,10K-99K,84.0,99.7
