workload,ipc,mpki,de_ratio,burstness_peak,class
backprop-rodinia-3.1_65536,817.5737,0.0245,0.2946,14,neutral
bfs-rodinia-3.1_graph65536,102.8354,0.0259,,0,neutral
gaussian-rodinia-3.1_s256,98.1002,0.0004,,0,neutral
hybridsort-rodinia-3.1_500000,132.5361,0.0177,0.7326,117,neutral
kmeans-rodinia-3.1_28k_4x_features,23.3551,2.0862,0.9863,54,B
lonestar-dmr_data_25k_10,11.7342,2.986,0.9971,96,B
lonestar-mst_2d_2e20_sym_gr,49.4936,0.9768,0.9819,125,B
lonestar-sssp_data_r4_2e20_gr,31.8635,1.5757,0.9952,128,B
lud-rodinia-3.1_s2048v,542.285,0.0338,0.9902,49,neutral
nw-rodinia-3.1_2048_10,8.492,5.0207,0.9866,128,B
pagerank,203.0311,0.055,0.9506,58,neutral
parboil-bfs_NY,17.7967,0.0028,,0,neutral
parboil-mri-gridding_small,423.5054,0.0925,0.9455,126,neutral
parboil-sad,718.6187,0.021,0.4603,81,neutral
parboil-sgemm_medium,1428.4166,0.0032,0.4778,7,neutral
parboil-spmv,226.5117,0.1907,0.9797,47,neutral
polybench-2mm_NI512_NJ512_NK512_NL512,484.5143,0.0011,0.028,4,neutral
polybench-atax_NX2048_NY2048,0.3543,81.374,0.9986,17,A
polybench-bicg_NX2048_NY2048,0.6014,56.3807,0.9922,16,B
polybench-fdtd2d_NX2048_NY2048_T25,490.8974,0.0877,0.9818,26,neutral
polybench-gesummv_N2024,0.2867,175.4862,0.999,25,B
polybench-gramschmidt,8.4495,0.3989,0.9963,7,neutral
polybench-mvt_N2048,0.5743,56.4603,0.998,15,A
streamcluster-rodinia-3.1_3_6_16_65536_65536_1000,218.0986,0.1733,0.994,55,neutral
