workload,class,ipc_base,mpki,de_ratio_pct,burstness,ipc_o3,o3_gain_pct,ipc_ctf,ipc_o3ctf,ipc_2mb_base,ipc_2mb_o3
backprop-rodinia-3.1_65536,neutral,817.5737,0.0245,29.5,14,818.6949,0.14,822.511,820.7425,2150.2156,2150.2156
bfs-rodinia-3.1_graph65536,neutral,102.8354,0.0259,,0,102.8354,0.0,105.0551,105.0551,109.8109,109.8109
gaussian-rodinia-3.1_s256,neutral,98.1002,0.0004,,0,98.1002,0.0,98.1872,98.1872,98.7466,98.7466
hybridsort-rodinia-3.1_500000,neutral,132.5361,0.0177,73.3,117,130.6404,-1.43,130.3204,135.8263,136.1815,136.1815
kmeans-rodinia-3.1_28k_4x_features,B,23.3551,2.0862,98.6,54,23.1794,-0.75,23.7081,23.4017,589.5966,589.5966
lonestar-dmr_data_25k_10,B,11.7342,2.986,99.7,96,11.783,0.42,11.6965,11.7841,26.1725,26.1725
lonestar-mst_2d_2e20_sym_gr,B,49.4936,0.9768,98.2,125,50.8406,2.72,48.1921,50.7677,311.0081,311.0081
lonestar-sssp_data_r4_2e20_gr,B,31.8635,1.5757,99.5,128,32.4169,1.74,31.8455,32.3476,462.4136,462.4136
lud-rodinia-3.1_s2048v,neutral,542.285,0.0338,99.0,49,546.0617,0.7,542.7681,543.3572,1023.0555,1023.0555
nw-rodinia-3.1_2048_10,B,8.492,5.0207,98.7,128,8.3738,-1.39,8.4979,8.3759,48.1683,48.1683
pagerank,neutral,203.0311,0.055,95.1,58,203.5224,0.24,202.6469,202.5344,213.6262,213.6262
parboil-bfs_NY,neutral,17.7967,0.0028,,0,17.7967,0.0,17.8187,17.8187,17.8584,17.8584
parboil-mri-gridding_small,neutral,423.5054,0.0925,94.5,126,428.9115,1.28,419.22,431.0545,1288.4479,1288.4479
parboil-sad,neutral,718.6187,0.021,46.0,81,681.9305,-5.11,570.0042,574.1324,1011.3417,1011.3417
parboil-sgemm_medium,neutral,1428.4166,0.0032,47.8,7,1428.4014,-0.0,1514.0911,1513.9291,2398.7183,2398.7183
parboil-spmv,neutral,226.5117,0.1907,98.0,47,219.7566,-2.98,226.5152,233.9276,455.7698,455.7698
polybench-2mm_NI512_NJ512_NK512_NL512,neutral,484.5143,0.0011,2.8,4,484.5143,0.0,477.7216,477.7216,473.9605,473.9605
polybench-atax_NX2048_NY2048,A,0.3543,81.374,99.9,17,0.6101,72.2,0.3558,0.6105,22.4153,22.4153
polybench-bicg_NX2048_NY2048,B,0.6014,56.3807,99.2,16,0.604,0.43,0.6033,0.5928,22.4114,22.4114
polybench-fdtd2d_NX2048_NY2048_T25,neutral,490.8974,0.0877,98.2,26,488.6466,-0.46,491.09,489.179,670.8057,670.8057
polybench-gesummv_N2024,B,0.2867,175.4862,99.9,25,0.2866,-0.03,0.2867,0.2866,36.6125,36.6125
polybench-gramschmidt,neutral,8.4495,0.3989,99.6,7,8.4527,0.04,8.4617,8.4602,20.2831,20.2831
polybench-mvt_N2048,A,0.5743,56.4603,99.8,15,0.596,3.78,0.5743,0.5948,22.4401,22.4401
streamcluster-rodinia-3.1_3_6_16_65536_65536_1000,neutral,218.0986,0.1733,99.4,55,218.1898,0.04,218.2707,218.5378,349.2494,349.2494
